Gender,Race
M,W
M,B
M,W
M,W
M,W
M,W
M,W
M,H
M,B
M,B
M,W
M,B
M,W
M,B
M,B
M,H
M,H
M,W
M,W
M,W
M,H
M,H
M,B
M,W
M,H
F,H
M,H
M,W
M,W
M,H
M,B
M,B
M,B
M,W
M,H
M,B
M,W
M,B
M,W
M,H
M,H
M,W
M,B
M,H
M,W
M,B
M,H
M,B
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,H
M,W
M,W
M,W
M,H
M,W
M,B
M,B
M,H
M,W
M,H
M,B
M,B
M,H
M,B
M,W
M,H
M,B
M,W
M,B
M,H
M,H
M,W
M,H
M,W
M,W
M,H
M,H
M,W
M,W
M,W
M,B
M,W
M,H
M,W
M,W
M,B
M,B
M,B
M,B
M,W
M,B
M,B
M,H
M,B
M,H
M,W
M,W
M,B
M,H
M,W
M,B
M,B
M,B
M,W
M,W
M,W
M,B
M,W
M,H
M,W
M,W
M,B
M,B
M,H
M,W
M,B
M,H
M,H
M,W
M,H
M,W
M,H
M,B
M,W
M,W
M,H
M,W
M,H
M,B
M,B
M,W
M,B
M,W
M,H
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,W
M,B
M,B
M,H
M,H
M,B
M,W
M,B
M,W
M,W
M,B
M,W
M,W
M,W
M,H
M,B
M,B
M,W
M,H
M,B
M,B
M,H
M,W
M,B
M,H
M,W
M,H
M,W
M,H
M,H
M,H
M,H
M,B
M,H
M,B
M,H
M,W
M,H
M,B
M,B
M,B
M,W
M,H
M,W
M,H
M,B
M,H
M,W
M,W
M,B
M,H
M,H
M,B
M,H
M,W
M,W
M,W
M,H
M,H
M,H
M,W
M,B
M,B
M,B
M,B
M,B
M,B
M,W
M,W
M,W
M,B
M,W
M,H
M,W
F,B
M,W
M,W
M,B
M,B
M,H
M,H
M,B
M,W
M,B
M,W
M,B
M,W
M,W
M,W
M,B
M,W
M,B
M,W
M,B
M,B
M,B
M,H
M,B
M,B
M,W
M,B
M,B
M,W
M,H
M,H
M,W
M,B
M,H
M,W
M,W
M,H
M,B
M,B
M,H
M,H
M,W
M,H
M,B
M,W
M,H
M,H
M,H
M,B
M,W
M,B
M,W
M,H
M,W
M,W
M,W
M,H
M,W
M,W
M,H
M,W
M,W
M,W
M,H
M,H
M,W
M,H
M,B
M,W
M,W
M,B
M,B
M,H
M,B
M,H
M,B
M,W
M,H
M,H
M,W
M,B
M,B
M,H
M,W
M,W
M,B
M,B
M,W
M,W
M,W
M,W
M,W
M,B
M,W
M,W
M,W
M,B
M,H
M,H
M,W
M,B
M,B
M,W
M,H
M,W
M,W
M,W
M,B
M,B
M,H
M,H
M,W
M,H
M,B
M,H
M,W
M,B
F,W
M,W
M,W
M,B
M,B
M,B
M,H
M,B
M,B
M,B
M,W
M,B
M,W
M,W
M,W
M,B
M,H
M,W
M,B
M,W
M,W
M,W
M,B
M,W
M,B
M,W
M,B
M,W
M,B
F,H
M,H
M,W
M,W
M,H
M,W
M,B
M,B
M,H
M,B
M,W
M,B
M,W
M,W
M,H
M,H
M,B
M,W
M,W
M,H
M,H
M,H
M,B
M,W
M,B
M,W
M,B
M,W
M,W
M,B
M,B
M,W
M,H
M,H
M,B
M,W
M,H
M,W
M,H
M,B
M,H
M,B
M,W
M,W
M,W
M,W
M,W
M,H
M,B
M,B
M,B
M,B
M,B
M,W
M,B
F,W
M,B
M,W
M,W
M,W
M,W
M,B
M,B
M,B
M,H
M,B
M,H
M,B
M,B
M,H
M,B
M,H
M,B
M,B
M,B
M,W
M,B
M,B
M,W
M,W
M,B
M,B
M,W
M,W
M,W
M,H
M,B
M,W
M,W
M,B
M,H
M,H
M,H
M,W
M,B
M,B
M,B
M,B
M,B
M,H
M,B
M,H
M,H
M,W
M,B
M,B
M,H
M,W
M,W
M,B
M,B
M,W
M,H
M,W
M,B
M,W
M,H
M,H
M,W
M,W
M,H
M,W
M,W
M,H
M,H
M,W
M,H
M,B
M,H
M,B
M,B
M,W
M,W
M,H
M,W
M,W
M,B
M,W
M,H
M,W
M,B
M,W
M,B
M,W
M,W
M,B
M,H
M,H
M,W
M,W
M,W
M,H
M,H
M,W
M,B
M,H
M,B
M,H
M,W
M,H
M,H
M,B
M,H
M,H
M,W
M,H
M,H
M,B
M,B
M,B
M,B
M,B
M,B
M,W
M,W
M,H
M,B
M,H
M,B
M,H
M,H
M,B
M,W
M,W
M,W
M,W
M,H
M,W
M,B
