,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model.Year,Origin
5,torino,#0000ff,17,8,302,140,3449,10.5,70,American
6,galaxie 500,#0000ff,15,8,429,198,4341,10,70,American
13,torino (sw),#0000ff,0,8,351,153,4034,11,70,American
18,mustang boss 302,#0000ff,0,8,302,140,3353,8,70,American
21,corona mark ii,#ff0000,24,4,113,95,2372,15,70,Japanese
24,maverick,#0000ff,21,6,200,85,2587,16,70,American
30,2002,#00ff00,26,4,121,113,2234,12.5,70,European
32,f250,#0000ff,10,8,360,215,4615,14,70,American
38,corona,#ff0000,25,4,113,95,2228,14,71,Japanese
39,pinto,#0000ff,25,4,98,NA,2046,19,71,American
44,torino 500,#0000ff,19,6,250,88,3302,15.5,71,American
48,galaxie 500,#0000ff,14,8,351,153,4154,13.5,71,American
51,country squire (sw),#0000ff,13,8,400,170,4746,12,71,American
56,mustang,#0000ff,18,6,250,88,3139,14.5,71,American
61,corolla 1200,#ff0000,31,4,71,65,1773,19,71,Japanese
65,corona hardtop,#ff0000,24,4,113,95,2278,15.5,72,Japanese
69,pinto runabout,#0000ff,21,4,122,86,2226,16.5,72,American
73,galaxie 500,#0000ff,14,8,351,153,4129,13,72,American
82,gran torino (sw),#0000ff,13,8,302,140,4294,16,72,American
88,pinto (sw),#0000ff,22,4,122,86,2395,16,72,American
90,corona mark ii (sw),#ff0000,23,4,120,97,2506,14.5,72,Japanese
92,corolla 1600 (sw),#ff0000,27,4,97,88,2100,16.5,72,Japanese
96,gran torino,#0000ff,14,8,302,137,4042,14.5,73,American
100,ltd,#0000ff,13,8,351,158,4363,13,73,American
108,maverick,#0000ff,18,6,250,88,3021,16.5,73,American
112,country,#0000ff,12,8,400,167,4906,12.5,73,American
116,carina,#ff0000,20,4,97,88,2279,19,73,Japanese
120,pinto,#0000ff,19,4,122,85,2310,18.5,73,American
131,mark ii,#ff0000,20,6,156,122,2807,13.5,73,Japanese
134,maverick,#0000ff,21,6,200,NA,2875,17,74,American
138,pinto,#0000ff,26,4,122,80,2451,16.5,74,American
139,corolla 1200,#ff0000,32,4,71,65,1836,21,74,Japanese
144,gran torino,#0000ff,16,8,302,140,4141,14,74,American
147,gran torino (sw),#0000ff,14,8,302,140,4638,16,74,American
152,corona,#ff0000,31,4,76,52,1649,16.5,74,Japanese
157,civic,#ffff00,24,4,120,97,2489,15,74,Japanese
163,maverick,#0000ff,15,6,250,72,3158,19.5,75,American
167,ltd,#0000ff,14,8,351,148,4657,13.5,75,American
174,mustang ii,#0000ff,13,8,302,129,3169,12,75,American
175,corolla,#ff0000,29,4,97,75,2171,16,75,Japanese
176,pinto,#0000ff,23,4,140,83,2639,17,75,American
179,corona,#ff0000,24,4,134,96,2702,13.5,75,Japanese
182,pinto,#0000ff,18,6,171,97,2984,14.5,75,American
189,civic cvcc,#ffff00,33,4,91,53,1795,17.5,75,Japanese
198,gran torino,#0000ff,14.5,8,351,152,4215,12.8,76,American
201,maverick,#0000ff,24,6,200,81,3012,17.6,76,American
206,civic,#ffff00,33,4,91,53,1795,17.4,76,Japanese
208,granada ghia,#0000ff,18,6,250,78,3574,21,76,American
213,corolla,#ff0000,28,4,97,75,2155,16.4,76,Japanese
214,pinto,#0000ff,26.5,4,140,72,2565,13.6,76,American
218,mark ii,#ff0000,19,6,156,108,2930,15.5,76,Japanese
219,280s,#00ffff,16.5,6,168,120,3820,16.7,76,European
222,f108,#0000ff,13,8,302,130,3870,15,76,American
224,accord cvcc,#ffff00,31.5,4,98,68,2045,18.5,77,Japanese
236,granada,#0000ff,18.5,6,250,98,3525,19,77,American
240,thunderbird,#0000ff,16,8,351,149,4335,14.5,77,American
243,corolla liftback,#ff0000,26,4,97,75,2265,18.2,77,Japanese
244,mustang ii 2+2,#0000ff,25.5,4,140,89,2755,15.8,77,American
250,320i,#00ff00,21.5,4,121,110,2600,12.8,77,European
253,fiesta,#0000ff,36.1,4,98,66,1800,14.4,78,American
256,civic cvcc,#ffff00,36.1,4,91,60,1800,16.4,78,Japanese
262,fairmont (auto),#0000ff,20.2,6,200,85,2965,15.8,78,American
263,fairmont (man),#0000ff,25.1,4,140,88,2720,15.4,78,American
272,futura,#0000ff,18.1,8,302,139,3205,11.2,78,American
275,corona,#ff0000,27.5,4,134,95,2560,14.2,78,Japanese
278,celica gt liftback,#ff0000,21.1,4,134,95,2515,14.8,78,Japanese
287,accord lx,#ffff00,29.5,4,98,68,2135,16.6,78,Japanese
290,fairmont 4,#0000ff,22.3,4,140,88,2890,17.3,79,American
294,ltd landau,#0000ff,17.6,8,302,129,3725,13.4,79,American
298,country squire (sw),#0000ff,15.5,8,351,142,4054,14.3,79,American
305,300d,#00ffff,25.4,5,183,77,3530,20.1,79,European
318,corolla tercel,#ff0000,38.1,4,89,60,1968,18.8,80,Japanese
322,fairmont,#0000ff,26.4,4,140,88,2870,18.1,80,American
326,corona liftback,#ff0000,29.8,4,134,90,2711,15.5,80,Japanese
329,corolla,#ff0000,32.2,4,108,75,2265,15.2,80,Japanese
336,240d,#00ffff,30,4,146,67,3250,21.8,80,European
337,civic 1500 gl,#ffff00,44.6,4,91,67,1850,13.8,80,Japanese
344,mustang cobra,#0000ff,23.6,4,140,NA,2905,14.3,80,American
345,accord,#ffff00,32.4,4,107,72,2290,17,80,Japanese
351,starlet,#ff0000,39.1,4,79,58,1755,16.9,81,Japanese
353,civic 1300,#ffff00,35.1,4,81,60,1760,16.1,81,Japanese
356,tercel,#ff0000,37.7,4,89,62,2050,17.3,81,Japanese
359,escort 4w,#0000ff,34.4,4,98,65,2045,16.2,81,American
360,escort 2h,#0000ff,29.9,4,98,65,2380,20.7,81,American
363,prelude,#ffff00,33.7,4,107,75,2210,14.4,81,Japanese
364,corolla,#ff0000,32.4,4,108,75,2350,16.8,81,Japanese
370,cressida,#ff0000,25.4,6,168,116,2900,12.6,81,Japanese
374,granada gl,#0000ff,20.2,6,200,88,3060,17.1,81,American
382,fairmont futura,#0000ff,24,4,140,92,2865,16.4,82,American
390,accord,#ffff00,36,4,107,75,2205,14.5,82,Japanese
391,corolla,#ff0000,34,4,108,70,2245,16.9,82,Japanese
392,civic,#ffff00,38,4,91,67,1965,15,82,Japanese
393,civic (auto),#ffff00,32,4,91,67,1965,15.7,82,Japanese
398,granada l,#0000ff,22,6,232,112,2835,14.7,82,American
399,celica gt,#ff0000,32,4,144,96,2665,13.9,82,Japanese
402,mustang gl,#0000ff,27,4,140,86,2790,15.6,82,American
405,ranger,#0000ff,28,4,120,79,2625,18.6,82,American
